Plot,Individual,Radius,Pithpix,Mag,Conversion,,,
1,1,0,429.0944,8,370.2667,,,
1,2,0,476.7358,8,370.2667,,,
1,3,0,268.479,8,370.2667,,,
1,4,0,180.3996,12,575.6667,,,
1,5,0,358.3085,10,461.3333,,,
1,6,0,315.3569,10,461.3333,,,
1,7,0,273.8558,8,370.2667,,,
1,8,0,348.8266,10,461.3333,,,
2,1,0,243.6473,10,461.3333,,,
2,2,0,311.2636,12,575.6667,,,
2,3,0,321.84,0,288.5556,,,
2,4,0,361.2478,12,575.6667,,,
2,5,0,150.9868,10,461.3333,,,
2,6,0,559.1681,10,461.3333,,,
2,7,0,152.8823,8,370.2667,,,
2,8,0,471.3438,12,575.6667,,,
3,1,0,208.7534,10,461.3333,,,
3,2,0,223.8772,16,734.5333,,,
3,3,0,327.3851,12,575.6667,,,
3,4,0,255.2822,20,918.0889,,,
3,5,0,280.8167,8,370.2667,,,
3,6,0,347.9224,10,461.3333,,,
4,1,0,180.6239,10,461.3333,,,
4,2,0,190.1631,12,575.6667,,,
4,3,0,453.0397,8,370.2667,,,
4,4,0,271.0646,4,185.1333,,,
4,5,0,313.683,0,288.5556,,,
4,6,0,202.4278,10,461.3333,,,
4,7,0,280.9448,8,370.2667,,,
4,8,0,325.5104,10,461.3333,,,
5,1,0,380.4326,8,370.2667,,,
5,2,0,132,5,230.6667,,,
5,3,0,443.29,10,461.3333,,,
5,4,0,135.1333,12,575.6667,,,
5,5,0,165,12,575.6667,,,
5,6,0,171.6566,12,575.6667,,,
5,7,0,482.4034,12,575.6667,,,
5,8,0,180.4993,8,370.2667,,,
