system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20160311T212510_20160311T232356_T07WET_0,1973,5980,5971,6635,6640,6700,6686,91,91,32607,0.5032729103726082,0.004874390701162355,0.0034518985441993094,71,2.3759684703107072E-5,1.1915603558881381E-5,69.5756,-138.9046,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20160311T212510_20160311T232356_T07WET_1,1995,5991,6015,6726,6715,6715,6745,89,91,32607,0.50187265917603,-8.183914887285172E-4,0.002228826151560178,71,6.697646288231785E-7,4.967666013837691E-6,69.5757,-138.90525,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160311T212510_20160311T232356_T07WET_2,2587,6179,6181,6950,6990,6984,6980,98,98,32607,0.40989963503649635,0.0024400746375771495,-7.158196134574087E-4,71,5.953964236876902E-6,5.123977190102692E-7,69.57781,-138.91277,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160311T212510_20160311T232356_T07WET_3,1438,5838,5832,6466,6457,6453,6352,26,23,32607,0.6044016506189821,-0.0010062698351265577,-0.008197361230384885,71,1.0125789810852837E-6,6.719673104027714E-5,69.57515,-138.89453,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160311T212510_20160311T232356_T07WET_4,2586,6102,6146,6754,6832,6906,6927,98,98,32607,0.407695831424645,0.011127379209370425,0.006904571553165201,71,1.2381856743637348E-4,4.7673108296662154E-5,69.57651,-138.86711,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160311T212510_20160311T232356_T07WET_5,2835,6269,6291,6999,7026,7078,7148,99,99,32607,0.378698224852071,0.005611991191304965,0.00860730915761253,71,3.14944451208714E-5,7.408577079917562E-5,69.57483,-138.86305,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160311T212512_20160311T212510_T07WET_0,1973,5980,5971,6635,6640,6700,6686,88,90,32607,0.5032729103726082,0.004874390701162355,0.0034518985441993094,71,2.3759684703107072E-5,1.1915603558881381E-5,69.5756,-138.9046,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20160311T212512_20160311T212510_T07WET_1,1995,5991,6015,6726,6715,6715,6745,89,90,32607,0.50187265917603,-8.183914887285172E-4,0.002228826151560178,71,6.697646288231785E-7,4.967666013837691E-6,69.5757,-138.90525,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160311T212512_20160311T212510_T07WET_2,2587,6179,6181,6950,6990,6984,6980,96,97,32607,0.40989963503649635,0.0024400746375771495,-7.158196134574087E-4,71,5.953964236876902E-6,5.123977190102692E-7,69.57781,-138.91277,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160311T212512_20160311T212510_T07WET_3,1438,5838,5832,6466,6457,6453,6352,20,19,32607,0.6044016506189821,-0.0010062698351265577,-0.008197361230384885,71,1.0125789810852837E-6,6.719673104027714E-5,69.57515,-138.89453,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
