"","AIC","pseudo.R2m","pseudo.R2c","LR.p","LR.X"
"null",361.317529265219,0,0.021948406953727,"-","-"
"P1",363.168886317344,0.000743870259480875,0.0267660696844207,"0.699835593613696","0.148642947875032"
"P2",362.471766857692,0.00417712577095746,0.0268618264219804,"0.357753902847236","0.845762407526593"
"P5",363.019558898812,0.00179520559138812,0.029014034117881,"0.585157625268971","0.29797036640656"
"pPx",363.11807638464,0.000911208293272413,0.0257443971007028,"0.655162827921716","0.199452880578747"
"Px",360.555654671827,0.0122227065882003,0.0263149058722994,"0.0965350600997626","2.76187459339218"
"ptsummer",362.870697742037,0.00213648072908644,0.0263270193328613,"0.503843466624253","0.446831523182254"
"ptautumn",362.124716816083,0.00579245531898598,0.0265033673928887,"0.274762985201184","1.19281244913645"
"twinter",359.982275489828,0.0152553287887569,0.0260281870974679,"0.0678099454582472","3.33525377539121"
"tspring",361.712727610355,0.00789891756939285,0.0271261229023911,"0.205224071430391","1.60480165486439"
"tsummer",360.50749412665,0.0130324584922377,0.0277244863587633,"0.093676323834394","2.81003513856894"
"tautumn",358.224222924341,0.0219389435711384,0.0243397374619071,"0.0240183574359299","5.09330634087809"
"ppsummer",359.97612086118,0.0151926559182712,0.0248547951431422,"0.0675567603540538","3.34140840403916"
"ppautumn",363.224365020487,0.000583118817551648,0.0275117072185174,"0.760192367701101","0.0931642447322929"
"pwinter",363.26503886178,0.000220102410575317,0.0267386730174802,"0.818785098233797","0.0524904034388101"
"pspring",362.824529112714,0.00253180382563323,0.027467823765652,"0.482592048781027","0.493000152505431"
"psummer",363.234358013321,0.000488255193814064,0.0279305455486653,"0.773044957452493","0.0831712518984205"
"pautumn",361.599488785732,0.00820248514234562,0.0265290493363052,"0.189945473781642","1.7180404794874"
"NDVImodis",362.351718743602,0.00417784583290005,0.023845664011926,"0.325727249907861","0.96581052161747"
"min.extent",362.25787254422,0.00430399728691476,0.0233797264208194,"0.303293491979713","1.05965672099927"
"onset.melt",361.180308623291,0.00976946311843189,0.0279946708161994,"0.143762144241384","2.13722064192785"
