"","Variable","Estimate","Est_error","CI_low","CI_high","Rhat","Bulk_ESS","Tail_ESS","Variable_full","Variable_type"
"1","min.extent",-0.135967213681211,0.125831863993777,-0.38214497757842,0.107550513148936,1.00159091308881,3338.72902748494,2221.93685610809,"Sea ice min. extent","ice"
"2","NDVImodis",0.0107629515846578,0.0546065680838097,-0.0974970370969542,0.120577673549452,1.00073971105105,2213.35112192811,1918.05785445212,"MODIS max. NDVI","ndvi"
"3","onset.melt",-0.0939787681663248,0.0637123625558928,-0.214673914830352,0.0356709885728021,1.00068629796692,2367.38104997457,1735.79651502658,"Sea ice melt onset","ice"
"4","P1",-0.0412807380221314,0.0723501591473998,-0.183735996340531,0.111048648279663,0.999969825842932,3114.7363887596,2208.95284863458,"Snow melt","ice"
"5","P2",-0.0420200552933702,0.0627177529747217,-0.158657460312927,0.0891244138290443,1.00178714797439,2434.45273332012,2322.33412500568,"Leaf emergence","pheno"
"6","P5",-0.095539033155564,0.043013633742543,-0.18298169067314,-0.0111032243263091,1.00029613105358,3555.14286183206,2381.20177176024,"Leaf senescence","pheno"
"7","pautumn",-0.00664115001548434,0.0556767633287133,-0.116663008961175,0.101762292144016,1.00082973641205,2170.59679920639,2105.39768850091,"Autumn precip.","precip"
"8","ppautumn",-0.00988539372594416,0.0533563292214355,-0.111181912164537,0.0993867057090097,1.00098159662821,2414.57581618493,1886.19271321071,"Prev. autumn precip.","precip"
"9","ppsummer",-0.0320253925193973,0.0582679332811599,-0.150005571833941,0.0812201173538237,1.00036501433095,1719.69741871921,1289.85352138814,"Prev. summer precip.","precip"
"10","pPx",-0.0252328940257138,0.0569797414989618,-0.138914817537597,0.0867151650088731,1.00027511824457,3308.53134227863,2314.15576011132,"Prev. GSL","pheno"
"11","pspring",-0.00616459192356884,0.0463393447186346,-0.099098928193149,0.0879695087325293,1.00248079667054,2255.47520209905,1641.77187618265,"Spring precip.","precip"
"12","psummer",0.0144330094439101,0.0590300986075636,-0.102755922124018,0.130791513017886,1.00045230998516,2595.66127744193,1867.19506096196,"Summer precip.","precip"
"13","ptautumn",0.0948429518406171,0.0529542769181921,-0.00811236573366434,0.198197053500332,1.00227107223776,3710.03725485701,2559.27085494603,"Prev. temp. autumn","temp"
"14","ptsummer",-0.00373473136060984,0.0634064880796807,-0.131554748926173,0.122652723853132,1.00094683661293,2252.99599143505,1889.3329287061,"Prev. temp. summer","temp"
"15","pwinter",-0.00673033619426113,0.0615626083109396,-0.133090263553092,0.114231961065166,1.00254591848659,2230.56831942435,1931.71152611419,"Winter precip.","precip"
"16","Px",-0.0511147761514166,0.0596605024866708,-0.168371233274849,0.0628467330251022,1.00080969636636,2826.36012740596,2213.3323680328,"GSL","pheno"
"17","tautumn",0.0723203107814959,0.0550687020644363,-0.0330453284956648,0.184513012672921,1.00009532944997,2947.86320460845,2032.03921922483,"Autumn temp.","temp"
"18","tspring",0.0174148277941393,0.0529529268341282,-0.0920181774700394,0.122098629045238,1.00169787826061,2819.99262305682,2149.72044839666,"Spring temp.","temp"
"19","tsummer",0.119215029778676,0.0531042234676972,0.0148032427174911,0.224207846841012,1.00060749366165,3175.85259195185,2177.24368427994,"Summer temp.","temp"
"20","twinter",-0.0237682527500503,0.0460410827288465,-0.114778159610102,0.0671708168905026,1.00052064069703,2586.14707027408,2144.09947774004,"Winter temp.","temp"
