"","Variable","Estimate","Est_error","CI_low","CI_high","Rhat","Bulk_ESS","Tail_ESS","Variable_full","Variable_type"
"1","min.extent",-0.172491361319579,0.189480058134378,-0.53803945721645,0.20917811562139,1.00013324276268,3762.39817427435,2097.76063820505,"Sea ice min. extent","ice"
"2","NDVImodis",0.0670515794912433,0.081806497825449,-0.0924574896496889,0.223028214205506,1.00250749675742,2630.77600405037,2134.9630754695,"MODIS max. NDVI","ndvi"
"3","onset.melt",-0.125680435753457,0.0934155544315302,-0.309866148324891,0.0620911749425534,1.00234655112271,3503.37524771047,2821.7046384673,"Sea ice melt onset","ice"
"4","P1",0.0384473891763009,0.107971545290358,-0.178363079504256,0.26006735562021,1.00172133722809,2146.46850276143,1957.54104565427,"Snow melt","ice"
"5","P2",0.0700330365841015,0.0889836488885611,-0.104886327397251,0.238579791621741,1.00155359097567,2721.85897017341,2394.99463325679,"Leaf emergence","pheno"
"6","P5",-0.0391773141193187,0.074399605429669,-0.189674006276291,0.101746784317402,1.00029437058659,2158.60693729425,1651.65344419238,"Leaf senescence","pheno"
"7","pautumn",-0.0871750684938668,0.0763438382916118,-0.23704596771973,0.066329423024117,1.00062241244611,2861.84701461333,2114.55087617243,"Autumn precip.","precip"
"8","ppautumn",0.0256703898736257,0.0776623911078872,-0.119896586855162,0.187796933450302,1.00086042251941,2519.26016578664,1515.94874766531,"Prev. autumn precip.","precip"
"9","ppsummer",-0.116389646883828,0.0756791028113089,-0.257318936373406,0.0406792961771526,0.999895264400471,2916.00555311977,1773.2885899356,"Prev. summer precip.","precip"
"10","pPx",-0.0316370314256523,0.0844079107102531,-0.19922215740363,0.136205973710196,1.00090259037654,2362.66960523571,1964.73641188817,"Prev. GSL","pheno"
"11","pspring",-0.0372280975821424,0.0625771887941304,-0.160706248154311,0.0900148729828119,1.00043191240208,2231.83029365216,2273.98153026302,"Spring precip.","precip"
"12","psummer",-0.0215248493383416,0.0867809122144482,-0.196488659939133,0.152603562103416,1.00017280927977,2918.84464896795,2401.35793663659,"Summer precip.","precip"
"13","ptautumn",0.0792788789605491,0.0813021548300719,-0.0800861708155437,0.23828498092258,1.00333713364434,2555.21867170424,2127.63925360208,"Prev. temp. autumn","temp"
"14","ptsummer",-0.0498111009485112,0.0954357726361985,-0.232123851374361,0.15202207924039,1.00066578160142,3039.8174241112,2238.84753832135,"Prev. temp. summer","temp"
"15","pwinter",-0.013762215052395,0.0942786882488961,-0.198640292517318,0.175048720281775,1.00119284310587,3655.16958732726,2537.17522086861,"Winter precip.","precip"
"16","Px",-0.130344948617976,0.0885085335331071,-0.304547874869799,0.0395891626649457,1.00018596893425,4108.8417409356,2883.82157837673,"GSL","pheno"
"17","tautumn",0.151193776278246,0.0754043620555527,0.00221486389274937,0.298782428470848,1.00154587775909,4173.79121087792,2441.41768644593,"Autumn temp.","temp"
"18","tspring",-0.0821668725606503,0.0782169392410796,-0.23648749529117,0.067676788237878,1.00128723159017,2023.06656069512,1366.27404052426,"Spring temp.","temp"
"19","tsummer",0.12856432678455,0.0869012965946377,-0.0404042865074049,0.304286414381633,1.0004909718937,2433.62473830377,1343.64199166636,"Summer temp.","temp"
"20","twinter",-0.0974882572893354,0.0618716577804182,-0.224156058805422,0.0255939440123243,1.0001957729375,3344.53580872131,2000.34498606259,"Winter temp.","temp"
